bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
70,-0.125,-0.11249999999999993,[2.544483938210805190575193755992709559338724586 +/- 5.75e-46],2.544483938210805,True,1397,44,333,344,22,20,[277.725684303892393768708504653 +/- 1.36e-29]
71,-0.11249999999999993,-0.09999999999999998,[2.559272546424433041478721723938329023900838902 +/- 4.43e-46],2.5592725464244332,True,1463,44,346,364,22,19,[269.486369888774881915160182319 +/- 3.94e-28]
72,-0.09999999999999998,-0.08749999999999991,[2.574019454252674242984667240974076230627142030 +/- 6.61e-46],2.5740194542526744,True,1767,44,417,445,22,19,[266.342450888694836488045842111 +/- 6.87e-29]
73,-0.08749999999999991,-0.07499999999999996,[2.588933690287954365747371960506906066563849822 +/- 5.54e-46],2.5889336902879543,True,1253,40,297,310,20,19,[261.011153489405035135787571334 +/- 1.42e-28]
74,-0.07499999999999996,-0.0625,[2.602926208010679761678317767444871477531538482 +/- 7.03e-46],2.60292620801068,True,1263,44,304,306,22,20,[298.936510024259030559003173962 +/- 3.03e-28]
75,-0.0625,-0.04999999999999993,[2.615227624937015672778059601967044394211115364 +/- 4.25e-46],2.615227624937016,True,1311,44,316,318,22,20,[308.196847215879858929808302214 +/- 1.17e-28]
76,-0.04999999999999993,-0.03749999999999998,[2.623240239170892137511457799675696045946504821 +/- 3.89e-46],2.623240239170892,True,1149,44,275,278,22,21,[198.304027986148550641228775089 +/- 1.35e-28]
77,-0.03749999999999998,-0.02499999999999991,[2.627538530873375790019512034720967367728019156 +/- 7.72e-46],2.627538530873376,True,1625,44,389,402,22,20,[157.709203843267380191123208794 +/- 4.31e-28]
78,-0.025,-0.021875000000000002,[2.61332088101204387198408068478301722093196695 +/- 6.16e-45],2.613320881012044,True,8065,306,1944,1825,42,35,[225.014632579197366672143532069 +/- 2.12e-28]
79,-0.021875000000000002,-0.018750000000000003,[2.61637189911389957579881945669126527137927340 +/- 5.66e-45],2.6163718991139,True,6637,241,1615,1505,42,36,[211.155045618298897716219628865 +/- 2.52e-28]
80,-0.018750000000000003,-0.015625,[2.61906002091771422554598066101761608826439278 +/- 3.18e-45],2.6190600209177144,True,6485,156,1580,1553,46,36,[192.409686368413769001397353714 +/- 6.99e-30]
81,-0.015625,-0.0125,[2.62162319809707538222564403920757172826349198 +/- 4.93e-45],2.6216231980970752,True,7671,208,1802,1872,46,37,[216.717288245228061696958374500 +/- 3.33e-28]
82,-0.0125,-0.009375000000000001,[2.62401814691771887925278696494746329297452448 +/- 8.07e-45],2.624018146917719,True,9793,425,2387,2127,42,34,[225.402033648469177370535366852 +/- 1.53e-28]
83,-0.009375000000000001,-0.00625,[2.62601064888933521038202631061514028705352509 +/- 7.09e-45],2.626010648889335,True,7943,242,1818,1956,44,34,[197.749871908039492291930445649 +/- 4.35e-28]
84,-0.00625,-0.003125,[2.62733646042028178111295483852315241347993208 +/- 2.76e-45],2.6273364604202816,True,5989,109,1473,1457,44,34,[170.444018102310267349526486578 +/- 3.25e-28]
87,0.003125,0.00625,[2.62733646042028178145167854220006962343129867 +/- 2.94e-45],2.6273364604202816,True,5989,109,1473,1457,44,34,[170.444018102310267349526486578 +/- 3.25e-28]
88,0.00625,0.009375000000000001,[2.62601064888933521034999533396920875225490367 +/- 6.46e-45],2.626010648889335,True,7943,242,1818,1956,44,34,[197.749871908039492291930445649 +/- 4.35e-28]
89,0.009375000000000001,0.0125,[2.62401814691771887304097780272305233716887874 +/- 6.65e-45],2.624018146917719,True,9793,425,2387,2127,42,34,[225.402033648469177370535366852 +/- 1.53e-28]
90,0.0125,0.015625,[2.62162319809707538207469846243526394331700652 +/- 4.01e-45],2.6216231980970752,True,7671,208,1802,1872,46,37,[216.717288245228061696958374500 +/- 3.33e-28]
91,0.015625,0.018750000000000003,[2.61906002091771422605507572473596783011832285 +/- 2.92e-45],2.6190600209177144,True,6485,156,1580,1553,46,36,[192.409686368413769001397353714 +/- 6.99e-30]
92,0.018750000000000003,0.021875000000000002,[2.61637189911389957340426970696831287386394137 +/- 7.40e-45],2.6163718991139,True,6637,241,1615,1505,42,36,[211.155045618298897716219628865 +/- 2.52e-28]
93,0.021875000000000002,0.025,[2.61332088101204387101934481772259003280848397 +/- 5.12e-45],2.613320881012044,True,8065,306,1944,1825,42,35,[225.014632579197366672143532069 +/- 2.12e-28]
